feature,group
ratio_grossmargin_3,Financial Trends
is_ebit,Business Operations
ratio_operatingcashflowtosalesratio,Liquidity
is_grossprofit_3,Financial Trends
bs_totalequity_1,Financial Trends
ratio_operatingmargin_2,Financial Trends
is_ebit_1,Financial Trends
ratio_operatingmargin_3,Financial Trends
NY,Company Profile
is_operatingincomeratio_3,Financial Trends
Real Estate,Company Profile
is_incomebeforetax_4,Financial Trends
ratio_ebittorevenue_1,Financial Trends
is_netincomeratio_4,Financial Trends
ratio_netprofitmargin_1,Financial Trends
base_value,Baseline
